"","","","Season","Team","GP","TOI","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","PENT","PEND","P+/-","PDO","ZSR"
"ADAM.ERNE","CEDRIC.PAQUETTE","MATHIEU.JOSEPH","2018-2019","T.B",28,113.37,89,90,-1,49.72,-3.36,2,2,0,50,-5.67,2.94,3.15,-0.21,48.28,-3.89,16,14,-2,100.22,48.48
"ADAM.ERNE","CEDRIC.PAQUETTE","RYAN.CALLAHAN","2018-2019","T.B",27,195.9,151,165,-14,47.78,-4,7,6,1,53.85,-2.19,5.47,5.94,-0.47,47.94,-2.55,16,7,-9,101.87,42.37
"ADAM.HENRIQUE","DANIEL.SPRONG","NICK.RITCHIE","2018-2019","ANA",30,156.73,136,148,-12,47.89,-0.82,3,4,-1,42.86,-1.48,5.91,6.38,-0.47,48.09,4.42,10,5,-5,98.94,59.57
"ADAM.HENRIQUE","JAKOB.SILFVERBERG","MAX.COMTOIS","2018-2019","ANA",6,51.37,41,61,-20,40.2,0.86,5,1,4,83.33,28.79,1.85,2.45,-0.6,43.02,7,2,1,-1,119.5,43.24
"ADAM.HENRIQUE","MAX.JONES","TROY.TERRY","2018-2019","ANA",13,57.92,58,46,12,55.77,8.68,2,0,2,100,48.84,2.35,1.61,0.74,59.34,15.51,2,3,1,107.41,74.19
"ADAM.HENRIQUE","NICK.RITCHIE","ONDREJ.KASE","2018-2019","ANA",23,140.67,122,117,5,51.05,3.47,6,4,2,60,16.34,4.83,3.97,0.86,54.89,10.4,11,6,-5,104.26,61.04
"ADAM.LOWRY","ANDREW.COPP","BRANDON.TANEV","2018-2019","WPG",51,251.95,264,209,55,55.81,7.88,8,5,3,61.54,13.12,10.92,8.37,2.55,56.61,9.86,9,18,9,101.85,46.43
"ADAM.LOWRY","BRANDON.TANEV","BRYAN.LITTLE","2018-2019","WPG",20,135.58,97,135,-38,41.81,-4.11,4,3,1,57.14,6.51,4.48,5.11,-0.63,46.72,0.55,6,8,2,102.21,25.88
"ADAM.LOWRY","BRANDON.TANEV","MATHIEU.PERREAULT","2018-2019","WPG",48,310.87,312,278,34,52.88,4.73,12,9,3,57.14,6.57,11.87,9.41,2.46,55.78,9.55,15,19,4,100.41,44.04
"ADRIAN.KEMPE","CARL.GRUNDSTROM","TYLER.TOFFOLI","2018-2019","L.A",11,108.47,111,86,25,56.35,10.45,3,3,0,50,6.41,5.64,2.7,2.94,67.63,19.29,6,5,-1,98.88,61.9
"ADRIAN.KEMPE","CARL.HAGELIN","ILYA.KOVALCHUK","2018-2019","L.A",12,88.63,80,70,10,53.33,2.82,2,4,-2,33.33,-15.72,2.63,3.14,-0.51,45.58,-3.81,1,6,5,95.87,71.79
"ADRIAN.KEMPE","CARL.HAGELIN","TYLER.TOFFOLI","2018-2019","L.A",18,69.28,72,44,28,62.07,13.51,2,2,0,50,0,3.28,1.37,1.91,70.54,22.59,2,1,-1,94.6,70
"ADRIAN.KEMPE","JEFF.CARTER","TYLER.TOFFOLI","2018-2019","L.A",22,56.97,55,45,10,55,8.82,3,2,1,60,12,2.94,2.18,0.76,57.42,8.9,3,1,-2,101.19,48.65
"ALEKSANDER.BARKOV","EVGENY.DADONOV","FRANK.VATRANO","2018-2019","FLA",42,84.28,68,91,-23,42.77,-6.48,4,6,-2,40,-7.62,2.7,3.83,-1.13,41.35,-6.56,4,6,2,95.24,47.83
"ALEKSANDER.BARKOV","EVGENY.DADONOV","JONATHAN.HUBERDEAU","2018-2019","FLA",49,342.43,332,315,17,51.31,1.75,25,16,9,60.98,21.22,15.28,17.03,-1.75,47.29,-0.55,16,22,6,103.4,45
"ALEKSANDER.BARKOV","EVGENY.DADONOV","MIKE.HOFFMAN","2018-2019","FLA",45,196.03,174,187,-13,48.2,-1.09,9,9,0,50,8.1,7.81,9.21,-1.4,45.89,-0.93,6,14,8,99.77,53.79
"ALEKSANDER.BARKOV","EVGENY.DADONOV","NICK.BJUGSTAD","2018-2019","FLA",17,122.47,113,99,14,53.3,2.68,6,5,1,54.55,10.1,4.52,5.81,-1.29,43.76,-5.98,6,12,6,100.6,50
"ALEKSANDER.BARKOV","FRANK.VATRANO","JONATHAN.HUBERDEAU","2018-2019","FLA",26,87.4,89,71,18,55.62,6.93,6,4,2,60,13.06,5.41,2.96,2.45,64.64,17.83,6,4,-2,101.54,32.61
"ALEKSANDER.BARKOV","JONATHAN.HUBERDEAU","MIKE.HOFFMAN","2018-2019","FLA",54,159.52,135,152,-17,47.04,-2.9,6,6,0,50,6.71,6.43,6.5,-0.07,49.73,3.13,5,13,8,99.74,46.79
"ALEX.CHIASSON","CONNOR.MCDAVID","LEON.DRAISAITL","2018-2019","EDM",48,245.55,241,253,-12,48.79,0.53,14,10,4,58.33,15.56,11.15,12.46,-1.31,47.23,0.45,9,17,8,104.82,59.3
"ALEX.CHIASSON","LEON.DRAISAITL","TOBIAS.RIEDER","2018-2019","EDM",30,199.17,168,186,-18,47.46,0.56,5,2,3,71.43,31.81,7.91,6.8,1.11,53.77,7.02,10,17,7,103.2,53.12
"ALEX.CHIASSON","MILAN.LUCIC","RYAN.NUGENT-HOPKINS","2018-2019","EDM",26,83.95,59,75,-16,44.03,-3.46,2,2,0,50,4.31,2.21,3.64,-1.43,37.78,-8.43,6,6,0,102.02,40.74
"ALEX.DEBRINCAT","BRENDAN.PERLINI","DYLAN.STROME","2018-2019","CHI",19,101.45,115,99,16,53.74,5.23,6,5,1,54.55,-1.01,4.64,3.97,0.67,53.89,7.44,1,1,0,98.12,71.43
"ALEX.DEBRINCAT","DAVID.KAMPF","DYLAN.SIKURA","2018-2019","CHI",8,60.82,48,44,4,52.17,9.05,1,0,1,100,47.83,1.71,1.8,-0.09,48.72,5.93,2,1,-1,103.23,51.22
"ALEX.DEBRINCAT","DOMINIK.KAHUN","DYLAN.STROME","2018-2019","CHI",27,161.9,138,181,-43,43.26,-6.22,14,8,6,63.64,16.18,5.49,7.6,-2.11,41.94,-3.71,12,6,-6,107.98,52.81
"ALEX.DEBRINCAT","DOMINIK.KAHUN","JONATHAN.TOEWS","2018-2019","CHI",41,205.27,235,208,27,53.05,3.62,12,11,1,52.17,4.05,8.69,9.85,-1.16,46.87,2.66,11,7,-4,99.15,62.5
"ALEX.DEBRINCAT","DYLAN.STROME","PATRICK.KANE","2018-2019","CHI",48,139.57,138,158,-20,46.62,-1.86,13,15,-2,46.43,-6.18,5.59,7.97,-2.38,41.22,-4.68,13,11,-2,102.35,59.21
"ALEX.DEBRINCAT","JONATHAN.TOEWS","PATRICK.KANE","2018-2019","CHI",62,72.83,72,66,6,52.17,3.07,7,6,1,53.85,5.71,2.43,3.19,-0.76,43.24,-1.45,1,2,1,106.19,72.97
"ALEX.GALCHENYUK","CLAYTON.KELLER","NICK.COUSINS","2018-2019","ARI",35,161.9,165,183,-18,47.41,-1.64,5,8,-3,38.46,-4.4,7.05,6.46,0.59,52.18,0.69,7,6,-1,97.22,70
"ALEX.GALCHENYUK","CLAYTON.KELLER","NICK.SCHMALTZ","2018-2019","ARI",14,71.8,65,67,-2,49.24,2.21,3,5,-2,37.5,-8.15,3.57,3.85,-0.28,48.11,4.32,3,7,4,96.88,78.57
"ALEX.GALCHENYUK","CONOR.GARLAND","NICK.COUSINS","2018-2019","ARI",25,103.25,104,79,25,56.83,8.73,6,1,5,85.71,42.69,3.95,3.42,0.53,53.6,2.65,5,4,-1,107.31,67.16
"ALEX.IAFALLO","ANZE.KOPITAR","DUSTIN.BROWN","2018-2019","L.A",61,704.03,641,683,-42,48.41,0.34,26,29,-3,47.27,0.57,25.02,27.49,-2.47,47.65,-0.66,35,24,-11,99.83,44.34
"ALEX.IAFALLO","ANZE.KOPITAR","ILYA.KOVALCHUK","2018-2019","L.A",24,73,61,77,-16,44.2,-5.82,5,3,2,62.5,18.18,2.84,3.82,-0.98,42.64,-6.13,1,2,1,108.97,34.78
"ALEX.IAFALLO","ANZE.KOPITAR","TYLER.TOFFOLI","2018-2019","L.A",47,66.7,71,42,29,62.83,14.95,2,3,-1,40,-5.66,2.32,2.14,0.18,52.02,5.04,1,0,-1,92.76,54.55
"ALEX.IAFALLO","BRENDAN.LEIPSIC","JEFF.CARTER","2018-2019","L.A",14,68.02,57,58,-1,49.57,1.73,3,1,2,75,30.81,1.47,1.9,-0.43,43.62,-6.01,5,1,-4,105.03,55
"ALEX.KERFOOT","COLIN.WILSON","TYSON.JOST","2018-2019","COL",32,160.13,139,130,9,51.67,3.15,4,5,-1,44.44,-10.56,5.09,4.46,0.63,53.3,3.46,14,10,-4,97.74,62.63
"ALEX.KERFOOT","J.T..COMPHER","TYSON.JOST","2018-2019","COL",31,78.6,77,82,-5,48.43,-3.34,5,1,4,83.33,33.8,3.31,2.52,0.79,56.78,7.61,4,7,3,108.67,53.57
"ALEX.KERFOOT","MATT.CALVERT","TYSON.JOST","2018-2019","COL",34,53.4,61,46,15,57.01,7.38,1,1,0,50,-4.1,1.75,1.49,0.26,54.01,5.12,6,4,-2,97.06,50
"ALEX.KERFOOT","MIKKO.RANTANEN","NATHAN.MACKINNON","2018-2019","COL",27,60.43,75,48,27,60.98,11.04,3,1,2,75,24.49,2.46,2.22,0.24,52.56,3.45,4,5,1,102.96,58.14
