"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2018-2019",79,3828.4,3441,3818,-377,47.4,53.93,59.84,130,149,-19,46.59,2.04,2.34,136.13,168.08,-31.95,44.75,2.13,2.63,231,199,-32,7.37,92.52,99.89
"ARI","2018-2019",78,3743.12,3525,3700,-175,48.79,56.5,59.31,124,149,-25,45.42,1.99,2.39,142.93,146.53,-3.61,49.38,2.29,2.35,203,233,30,6.7,92.12,98.82
"BOS","2018-2019",79,3839.57,3729,3303,426,53.03,58.27,51.62,145,124,21,53.9,2.27,1.94,145.17,134.14,11.03,51.97,2.27,2.1,250,253,3,7.07,93.03,100.1
"BUF","2018-2019",79,3878.68,3587,3642,-55,49.62,55.49,56.34,143,180,-37,44.27,2.21,2.78,140.45,157.58,-17.13,47.13,2.17,2.44,200,217,17,7,91.5,98.5
"CAR","2018-2019",78,3768.42,4045,3332,713,54.83,64.4,53.05,150,144,6,51.02,2.39,2.29,193.82,149.82,44,56.4,3.09,2.39,212,220,8,7.1,91.85,98.94
"CBJ","2018-2019",78,3867.52,3541,3545,-4,49.97,54.93,55,173,160,13,51.95,2.68,2.48,155.16,153.69,1.47,50.24,2.41,2.38,164,205,41,8.65,91.71,100.36
"CGY","2018-2019",78,3713.43,3783,3206,577,54.13,61.12,51.8,174,141,33,55.24,2.81,2.28,160.22,140.99,19.22,53.19,2.59,2.28,225,247,22,8.8,91.82,100.61
"CHI","2018-2019",76,3731.67,3532,3638,-106,49.26,56.79,58.49,170,174,-4,49.42,2.73,2.8,142.59,174.3,-31.71,45,2.29,2.8,193,191,-2,8.63,91.68,100.31
"COL","2018-2019",76,3536.02,3406,3392,14,50.1,57.79,57.56,142,139,3,50.53,2.41,2.36,134.86,135.85,-0.99,49.82,2.29,2.31,254,246,-8,7.49,92.34,99.84
"DAL","2018-2019",79,3863.3,3451,3738,-287,48,53.6,58.05,131,126,5,50.97,2.03,1.96,145.32,144.77,0.55,50.1,2.26,2.25,212,190,-22,6.99,93.63,100.63
"DET","2018-2019",79,3872.05,3382,3754,-372,47.39,52.41,58.17,147,170,-23,46.37,2.28,2.63,137.83,167.74,-29.91,45.11,2.14,2.6,235,213,-22,8.07,91.89,99.97
"EDM","2018-2019",78,3830.63,3396,3658,-262,48.14,53.19,57.3,139,168,-29,45.28,2.18,2.63,145.46,163.44,-17.98,47.09,2.28,2.56,231,198,-33,7.62,91.6,99.21
"FLA","2018-2019",79,3829.02,3524,3603,-79,49.45,55.22,56.46,158,184,-26,46.2,2.48,2.88,145.82,159.42,-13.6,47.77,2.29,2.5,215,246,31,7.94,90.53,98.47
"L.A","2018-2019",78,3822.6,3413,3644,-231,48.36,53.57,57.2,130,155,-25,45.61,2.04,2.43,134.6,143.98,-9.38,48.32,2.11,2.26,217,203,-14,7.34,91.85,99.2
"MIN","2018-2019",79,3782.7,3644,3469,175,51.23,57.8,55.02,134,149,-15,47.35,2.13,2.36,147.9,122.4,25.49,54.72,2.35,1.94,224,226,2,6.77,91.48,98.25
"MTL","2018-2019",78,3768.98,4099,3448,651,54.31,65.25,54.89,179,152,27,54.08,2.85,2.42,164.05,137.72,26.33,54.36,2.61,2.19,228,214,-14,8.28,91.93,100.2
"N.J","2018-2019",79,3722.25,3213,3654,-441,46.79,51.79,58.9,138,174,-36,44.23,2.22,2.8,145.32,153.06,-7.74,48.7,2.34,2.47,241,229,-12,7.55,91.17,98.71
"NSH","2018-2019",78,3708.33,3683,3394,289,52.04,59.59,54.91,153,137,16,52.76,2.48,2.22,149.27,145.12,4.15,50.7,2.42,2.35,235,237,2,7.64,92.63,100.27
"NYI","2018-2019",78,3820.78,3341,3665,-324,47.69,52.47,57.55,155,125,30,55.36,2.43,1.96,151.07,144.19,6.88,51.16,2.37,2.26,199,198,-1,8.68,93.41,102.09
"NYR","2018-2019",78,3750.12,3218,3750,-532,46.18,51.49,60,140,163,-23,46.2,2.24,2.61,145.01,161.77,-16.77,47.27,2.32,2.59,247,235,-12,7.9,91.9,99.8
"OTT","2018-2019",77,3801.93,3396,4172,-776,44.87,53.59,65.84,163,206,-43,44.17,2.57,3.25,148.26,171.21,-22.95,46.41,2.34,2.7,216,224,8,8.83,90.78,99.61
"PHI","2018-2019",78,3747.77,3491,3745,-254,48.24,55.89,59.96,157,174,-17,47.43,2.51,2.79,146.18,155.31,-9.14,48.48,2.34,2.49,219,232,13,8.43,91.35,99.78
"PIT","2018-2019",79,3845.07,3689,3801,-112,49.25,57.56,59.31,175,146,29,54.52,2.73,2.28,162.64,155.31,7.33,51.15,2.54,2.42,229,222,-7,8.46,92.99,101.45
"S.J","2018-2019",79,3837.18,3989,3258,731,55.04,62.37,50.94,185,177,8,51.1,2.89,2.77,174.4,145.59,28.81,54.5,2.73,2.28,239,238,-1,9.03,89.73,98.77
"STL","2018-2019",78,3767.17,3511,3333,178,51.3,55.92,53.08,158,137,21,53.56,2.52,2.18,151.55,129.69,21.85,53.89,2.41,2.07,210,210,0,8.15,92.22,100.36
"T.B","2018-2019",78,3711.95,3659,3387,272,51.93,59.14,54.75,195,149,46,56.69,3.15,2.41,150.34,131.52,18.81,53.34,2.43,2.13,253,256,3,9.68,92.16,101.84
"TOR","2018-2019",78,3856.07,4157,3856,301,51.88,64.68,60,194,162,32,54.49,3.02,2.52,172.25,159.68,12.57,51.89,2.68,2.48,188,187,-1,9.44,92.31,101.75
"VAN","2018-2019",78,3739.9,3392,3642,-250,48.22,54.42,58.43,144,166,-22,46.45,2.31,2.66,132.19,155.31,-23.12,45.98,2.12,2.49,223,237,14,8,91.56,99.56
