"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2018-2019",41,2472.38,2094,2488,-394,45.7,50.82,60.38,89,132,-43,40.27,2.16,3.2,87.22,122.84,-35.63,41.52,2.12,2.98,155,128,-27,8.14,90.38,98.52
"ARI","2018-2019",39,2380.33,2152,2278,-126,48.58,54.24,57.42,95,117,-22,44.81,2.39,2.95,103.65,114.5,-10.86,47.51,2.61,2.89,129,137,8,8.21,90.31,98.53
"BOS","2018-2019",39,2372.03,2299,2212,87,50.96,58.15,55.95,108,110,-2,49.54,2.73,2.78,112.41,115.91,-3.49,49.24,2.84,2.93,157,147,-10,8.63,90.8,99.44
"BUF","2018-2019",40,2431.5,2316,2334,-18,49.81,57.15,57.59,95,138,-43,40.77,2.34,3.41,106.13,128.24,-22.1,45.28,2.62,3.16,134,140,6,7.27,89.7,96.98
"CAR","2018-2019",39,2351.43,2447,2011,436,54.89,62.44,51.31,109,111,-2,49.55,2.78,2.83,126.64,105.01,21.63,54.67,3.23,2.68,142,152,10,8.15,90.12,98.27
"CBJ","2018-2019",38,2295.77,2053,2138,-85,48.99,53.66,55.88,110,103,7,51.64,2.87,2.69,101.03,104.81,-3.77,49.08,2.64,2.74,124,123,-1,9.73,91.07,100.81
"CGY","2018-2019",39,2355.42,2312,2122,190,52.14,58.89,54.05,115,93,22,55.29,2.93,2.37,117.27,107.43,9.84,52.19,2.99,2.74,158,180,22,9.19,91.93,101.12
"CHI","2018-2019",40,2421.48,2251,2403,-152,48.37,55.78,59.54,127,148,-21,46.18,3.15,3.67,109.07,144.13,-35.06,43.08,2.7,3.57,135,122,-13,10.3,89.05,99.35
"COL","2018-2019",37,2262.32,2103,2349,-246,47.24,55.77,62.3,122,115,7,51.48,3.24,3.05,105.37,119.22,-13.85,46.92,2.79,3.16,162,152,-10,10.29,90.89,101.18
"DAL","2018-2019",40,2429.73,1998,2380,-382,45.64,49.34,58.77,91,102,-11,47.15,2.25,2.52,96.73,106.05,-9.32,47.7,2.39,2.62,137,113,-24,8.12,92.03,100.14
"DET","2018-2019",40,2434.12,2173,2512,-339,46.38,53.56,61.92,107,141,-34,43.15,2.64,3.48,104.07,132.16,-28.09,44.05,2.57,3.26,151,125,-26,9.07,89.72,98.78
"EDM","2018-2019",38,2303.02,1964,2186,-222,47.33,51.17,56.95,100,130,-30,43.48,2.61,3.39,96.51,111.75,-15.24,46.34,2.51,2.91,159,130,-29,9.27,89.19,98.46
"FLA","2018-2019",41,2515.23,2388,2419,-31,49.68,56.96,57.7,126,153,-27,45.16,3.01,3.65,112.93,120.88,-7.95,48.3,2.69,2.88,142,156,14,9.4,87.91,97.31
"L.A","2018-2019",39,2379.72,2145,2362,-217,47.59,54.08,59.55,85,124,-39,40.67,2.14,3.13,90.19,114.81,-24.62,43.99,2.27,2.89,134,116,-18,7.5,90.24,97.75
"MIN","2018-2019",40,2410,2298,2319,-21,49.77,57.21,57.73,106,113,-7,48.4,2.64,2.81,119.79,108.74,11.05,52.42,2.98,2.71,129,137,8,8.47,90.33,98.79
"MTL","2018-2019",39,2354.08,2276,2258,18,50.2,58.01,57.55,110,122,-12,47.41,2.8,3.11,108.36,115.19,-6.84,48.47,2.76,2.94,142,127,-15,8.92,90.39,99.31
"N.J","2018-2019",39,2366.72,2098,2443,-345,46.2,53.19,61.93,97,153,-56,38.8,2.46,3.88,105.31,129.14,-23.83,44.92,2.67,3.27,144,137,-7,8.19,88.4,96.59
"NSH","2018-2019",39,2362.33,2243,2308,-65,49.29,56.97,58.62,111,107,4,50.92,2.82,2.72,103.61,118.66,-15.05,46.61,2.63,3.01,144,136,-8,9.11,91.44,100.55
"NYI","2018-2019",39,2361.82,2035,2385,-350,46.04,51.7,60.59,104,97,7,51.74,2.64,2.46,100.36,112.96,-12.59,47.05,2.55,2.87,146,132,-14,9.74,92.33,102.07
"NYR","2018-2019",39,2393.92,1953,2516,-563,43.7,48.95,63.06,101,147,-46,40.73,2.53,3.68,96.58,132.34,-35.76,42.19,2.42,3.32,179,142,-37,9.31,89.41,98.72
"OTT","2018-2019",38,2293.28,1947,2478,-531,44,50.94,64.83,109,169,-60,39.21,2.85,4.42,100.58,127.43,-26.85,44.11,2.63,3.33,126,134,8,9.81,87.66,97.47
"PHI","2018-2019",38,2298.42,2046,2317,-271,46.89,53.41,60.49,116,130,-14,47.15,3.03,3.39,110.14,118.65,-8.51,48.14,2.88,3.1,146,138,-8,9.97,89.59,99.56
"PIT","2018-2019",40,2445.05,2360,2435,-75,49.22,57.91,59.75,135,109,26,55.33,3.31,2.67,122.83,117.29,5.55,51.15,3.01,2.88,135,125,-10,10.34,91.63,101.97
"S.J","2018-2019",39,2357.65,2477,2097,380,54.15,63.04,53.37,136,135,1,50.18,3.46,3.44,122.72,115.32,7.4,51.55,3.12,2.93,154,151,-3,10.33,88.25,98.58
"STL","2018-2019",40,2431,2257,2201,56,50.63,55.71,54.32,108,95,13,53.2,2.67,2.34,110.9,103.34,7.55,51.76,2.74,2.55,145,133,-12,8.59,91.75,100.35
"T.B","2018-2019",37,2255.25,2187,2139,48,50.55,58.18,56.91,138,109,29,55.87,3.67,2.9,115.5,106.05,9.45,52.13,3.07,2.82,162,147,-15,11.4,90.86,102.26
"TOR","2018-2019",39,2365.67,2466,2324,142,51.48,62.54,58.94,133,120,13,52.57,3.37,3.04,132.86,114.2,18.67,53.78,3.37,2.9,125,134,9,10.05,90.67,100.72
"VAN","2018-2019",39,2382,2170,2344,-174,48.07,54.66,59.04,96,119,-23,44.65,2.42,3,98.11,120.35,-22.24,44.91,2.47,3.03,148,149,1,8.35,90.43,98.77
"VGK","2018-2019",40,2418.15,2462,2070,392,54.32,61.09,51.36,113,124,-11,47.68,2.8,3.08,123.37,108.71,14.67,53.16,3.06,2.7,129,116,-13,8.54,89.58,98.12
"WPG","2018-2019",37,2235.55,2111,2241,-130,48.51,56.66,60.15,108,113,-5,48.87,2.9,3.03,100.91,112.52,-11.61,47.28,2.71,3.02,165,156,-9,9.2,90.73,99.93
"WSH","2018-2019",40,2423.88,2198,2343,-145,48.4,54.41,58,134,132,2,50.38,3.32,3.27,106.94,124.72,-17.78,46.16,2.65,3.09,163,133,-30,11.19,89.42,100.62
