"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2018-2019",38,2333.05,2117,2386,-269,47.01,54.44,61.36,98,111,-13,46.89,2.52,2.85,106.86,136.21,-29.35,43.96,2.75,3.5,154,126,-28,9.07,91.13,100.2
"ARI","2018-2019",39,2360.02,2335,2360,-25,49.73,59.36,60,107,93,14,53.5,2.72,2.36,111.24,107.03,4.22,50.97,2.83,2.72,138,152,14,8.77,92.24,101.01
"BOS","2018-2019",40,2431.5,2384,2014,370,54.21,58.83,49.7,137,94,43,59.31,3.38,2.32,105.47,94.43,11.04,52.76,2.6,2.33,156,176,20,10.28,91.74,102.02
"BUF","2018-2019",39,2382.85,2180,2169,11,50.13,54.89,54.62,112,124,-12,47.46,2.82,3.12,104.71,104.18,0.53,50.13,2.64,2.62,119,131,12,8.7,90.33,99.03
"CAR","2018-2019",39,2363.23,2640,2115,525,55.52,67.03,53.7,121,104,17,53.78,3.07,2.64,158.73,114.57,44.16,58.08,4.03,2.91,135,139,4,8.94,90.53,99.46
"CBJ","2018-2019",40,2412.65,2286,2069,217,52.49,56.85,51.45,131,118,13,52.61,3.26,2.93,118.7,107.42,11.27,52.49,2.95,2.67,106,126,20,9.87,89.82,99.69
"CGY","2018-2019",39,2355.5,2451,1923,528,56.04,62.43,48.98,160,119,41,57.35,4.08,3.03,133.74,97.57,36.18,57.82,3.41,2.49,133,145,12,12.32,88.46,100.77
"CHI","2018-2019",36,2186.82,2148,2096,52,50.61,58.93,57.51,121,125,-4,49.19,3.32,3.43,103.73,117.44,-13.7,46.9,2.85,3.22,105,131,26,9.81,90.23,100.04
"COL","2018-2019",39,2357.2,2308,2162,146,51.63,58.75,55.03,119,111,8,51.74,3.03,2.83,110.58,92.27,18.31,54.51,2.81,2.35,158,175,17,9.07,90.55,99.62
"DAL","2018-2019",39,2352.87,2365,2324,41,50.44,60.31,59.26,108,90,18,54.55,2.75,2.3,125.09,107.87,17.22,53.7,3.19,2.75,141,139,-2,8.37,92.64,101.01
"DET","2018-2019",39,2382.87,2044,2209,-165,48.06,51.47,55.62,111,119,-8,48.26,2.79,3,100.14,119.26,-19.12,45.64,2.52,3,130,134,4,9.82,90.6,100.42
"EDM","2018-2019",40,2424.62,2274,2320,-46,49.5,56.27,57.41,121,128,-7,48.59,2.99,3.17,121.38,125.38,-4,49.19,3,3.1,138,142,4,9.98,89.98,99.97
"FLA","2018-2019",38,2313.07,2190,2053,137,51.61,56.81,53.25,129,112,17,53.53,3.35,2.91,113.01,114.22,-1.21,49.73,2.93,2.96,130,154,24,10.25,90.33,100.57
"L.A","2018-2019",39,2361.02,2115,2227,-112,48.71,53.75,56.59,102,120,-18,45.95,2.59,3.05,104.35,107.91,-3.56,49.16,2.65,2.74,133,143,10,9.29,89.68,98.97
